"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0222723293462312 2 60 "GO:0000002" "mitochondrial genome maintenance" 0.296619723464367
0 0.185657273761685 4 9 "GO:0000012" "single strand break repair" 0.853484514264803
0 0.0150557481499001 4 138 "GO:0000018" "regulation of DNA recombination" 0.245066006007447
0 0.551899353059864 5 8 "GO:0000019;GO:0045950" "regulation of mitotic recombination" 1
0 0.483563912645633 2 57 "GO:0000022;GO:0051231" "spindle elongation" 1
0 0.996292097725169 4 49 "GO:0000027" "ribosomal large subunit assembly" 1
0 0.999957926538016 2 36 "GO:0000028" "ribosomal small subunit assembly" 1
0 0.589669039712339 4 68 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.998778352084126 3 244 "GO:0000041" "transition metal ion transport" 1
0 0.991952930451997 2 142 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 0.987725309708098 3 29 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 1
0 0.985653874261152 3 20 "GO:0000052" "citrulline metabolic process" 1
0 0.616353518371199 3 31 "GO:0000054;GO:0033750;GO:0071428" "rRNA-containing ribonucleoprotein complex export from nucleus" 1
0 0.491661753637492 3 14 "GO:0000055" "ribosomal large subunit export from nucleus" 1
0 0.399177034263117 7 11 "GO:0000056" "ribosomal small subunit export from nucleus" 1
0 0.207218911104374 -1 88 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.909633977221685
0 0.507744593674313 4 354 "GO:0000070;GO:0000819" "sister chromatid segregation" 1
0 8.15999388540483e-05 3 420 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.00753793649906984
0 0.0376706566543688 7 37 "GO:0000076" "DNA replication checkpoint" 0.400689927373044
0 0.000184778624109483 2 312 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.0141432638537133
0 0.209589659331146 5 306 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.909633977221685
0 0.958681796170804 2 61 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 1
0 0.0034085215121752 2 305 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.105767804355842
0 0.68414880935732 3 77 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.540096524786256 2 32 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.630791857320658 5 29 "GO:0000098" "sulfur amino acid catabolic process" 1
0 0.997808341741302 2 14 "GO:0000101" "sulfur amino acid transport" 1
0 0.491661753637492 4 14 "GO:0000117;GO:0090282" "regulation of transcription involved in G2/M transition of mitotic cell cycle" 1
0 0.399392155050427 2 2762 "GO:0000122;GO:0045892" "negative regulation of transcription, DNA-templated" 1
0 0.571472842448918 2 242 "GO:0000132;GO:0051294" "establishment of spindle orientation" 1
0 0.434325640640853 2 56 "GO:0000154" "rRNA modification" 1
0 0.140399654853744 2 797 "GO:0000165" "MAPK cascade" 0.767707526807454
