"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0123532694055523 2 60 "GO:0000002" "mitochondrial genome maintenance" 0.109840057589543
0 0.109193055452367 4 9 "GO:0000012" "single strand break repair" 0.480794925373917
0 4.22417211989835e-07 4 138 "GO:0000018" "regulation of DNA recombination" 1.7398664090254e-05
0 0.404199337452249 5 8 "GO:0000019;GO:0045950" "regulation of mitotic recombination" 1
0 0.000651433568762022 2 57 "GO:0000022;GO:0051231" "spindle elongation" 0.0112259236943324
0 0.977918912102419 4 49 "GO:0000027" "ribosomal large subunit assembly" 1
0 0.999999944030265 2 36 "GO:0000028" "ribosomal small subunit assembly" 1
0 0.779006260517776 4 68 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.954153472389497 3 244 "GO:0000041" "transition metal ion transport" 1
0 0.0297123365720431 2 142 "GO:0000045;GO:1905037" "autophagosome organization" 0.207376756393781
0 0.664462490694672 3 29 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 1
0 0.217071451666495 3 20 "GO:0000052" "citrulline metabolic process" 0.749248915489145
0 0.271212150289439 3 31 "GO:0000054;GO:0033750;GO:0071428" "rRNA-containing ribonucleoprotein complex export from nucleus" 0.852818760838239
0 0.610153669103585 3 14 "GO:0000055" "ribosomal large subunit export from nucleus" 1
0 0.833947495960667 7 11 "GO:0000056" "ribosomal small subunit export from nucleus" 1
0 0.24149971268469 -1 88 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.797044506291368
0 6.31694305332348e-18 4 354 "GO:0000070;GO:0000819" "sister chromatid segregation" 1.34932841732038e-15
0 2.61352691581058e-18 3 420 "GO:0000075;GO:0007093" "cell cycle checkpoint" 5.93529848843583e-16
0 1.55311568367357e-05 7 37 "GO:0000076" "DNA replication checkpoint" 0.000418339224473365
0 3.36483296304495e-16 2 312 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 4.98483722025288e-14
0 2.41291146252043e-10 5 306 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1.64167346542594e-08
0 0.070069279355108 2 61 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.371157053562092
0 3.65729444574919e-06 2 305 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.000120106091944754
0 0.667217806974725 3 77 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.646389109816104 2 32 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.516614253511532 5 29 "GO:0000098" "sulfur amino acid catabolic process" 1
0 0.999808269998584 2 14 "GO:0000101" "sulfur amino acid transport" 1
0 0.392027013339219 4 14 "GO:0000117;GO:0090282" "regulation of transcription involved in G2/M transition of mitotic cell cycle" 1
0 0.00072761943663671 2 2762 "GO:0000122;GO:0045892" "negative regulation of transcription, DNA-templated" 0.012262723900015
0 0.152714595237659 2 242 "GO:0000132;GO:0051294" "establishment of spindle orientation" 0.600658458421141
0 1.77359724574745e-05 2 56 "GO:0000154" "rRNA modification" 0.000473560776226463
0 0.0835264495221596 2 797 "GO:0000165" "MAPK cascade" 0.416951325467954
0 0.0036036136991185 2 18 "GO:0000183" "rDNA heterochromatin assembly" 0.0444881610569938
0 0.999999999999996 3 207 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.0140315833899951 2 49 "GO:0000185" "activation of MAPKKK activity" 0.121241856478932
0 0.0999626652800577 6 129 "GO:0000186" "activation of MAPKK activity" 0.47646968375575
0 0.185767197256849 6 360 "GO:0000187" "activation of MAPK activity" 0.686904873914717
0 0.406109484556364 2 51 "GO:0000188" "inactivation of MAPK activity" 1
0 3.77772770436978e-26 9 568 "GO:0000209" "protein polyubiquitination" 1.57720131657438e-23
0 1.04374790079393e-05 2 122 "GO:0000212" "meiotic spindle organization" 0.000298309658546467
0 0.00156468276707614 5 25 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.0229578453923232
0 3.66480220087156e-14 2 126 "GO:0000245" "spliceosomal complex assembly" 4.74101524155004e-12
0 0.811031759831846 3 9 "GO:0000255" "allantoin metabolic process" 1
0 0.291795763059039 2 57 "GO:0000266" "mitochondrial fission" 0.904223327370125
0 0.166941845308507 5 127 "GO:0000271;GO:0033692;GO:0034637" "cellular carbohydrate biosynthetic process" 0.638634256209345
0 0.0181174971051058 6 75 "GO:0000272;GO:0005980;GO:0009251;GO:0044247;GO:0044275" "cellular carbohydrate catabolic process" 0.146486981435208
0 5.49773657796995e-19 2 945 "GO:0000280;GO:0048285" "organelle fission" 1.3417327098832e-16
0 0.00015867240431578 2 302 "GO:0000281" "mitotic cytokinesis" 0.00328985560641183
0 7.42531044964025e-11 3 115 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 5.82918602392698e-09
0 8.33063109970246e-08 3 50 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 3.90392074748812e-06
0 0.000323655645359546 3 18 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.00611682531404821
0 0.00010891056532832 3 59 "GO:0000291;GO:0043928" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.00238745475546687
0 0.684778745670024 3 8 "GO:0000294" "nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay" 1
0 0.00737255882089705 2 11 "GO:0000301" "retrograde transport, vesicle recycling within Golgi" 0.0762320755546811
0 0.187619912415407 2 497 "GO:0000302" "response to reactive oxygen species" 0.691921278338746
0 0.0177367883319435 5 48 "GO:0000303;GO:0000305" "response to oxygen radical" 0.145838032348784
0 0.0365782458460716 2 12 "GO:0000320" "re-entry into mitotic cell cycle" 0.238785492605663
0 0.135186370425393 4 12 "GO:0000335;GO:0000337" "regulation of transposition, DNA-mediated" 0.556311295858976
0 0.0339825990186583 7 24 "GO:0000338" "protein deneddylation" 0.22967635907754
0 0.0687095521630257 2 6 "GO:0000349" "generation of catalytic spliceosome for first transesterification step" 0.36564150441332
0 1.88253700011481e-52 2 894 "GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397" "mRNA processing" 4.32277558651363e-49
0 0.146492756869337 8 44 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.595597022616983
0 4.56194126713965e-06 2 260 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.000143498049789992
0 1.83440941175711e-10 2 71 "GO:0000387" "spliceosomal snRNP assembly" 1.25739182440217e-08
0 0.00301853304187185 2 13 "GO:0000389" "mRNA 3'-splice site recognition" 0.0385072583188791
0 0.0180054794429528 5 9 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 0.145838032348784
0 0.130023050202993 3 19 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 0.544082786384734
0 0.00471749636406301 2 12 "GO:0000395" "mRNA 5'-splice site recognition" 0.0544349297787924
0 0.00364690917851774 3 47 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.0447221105536521
0 0.0171513147115538 8 14 "GO:0000414" "regulation of histone H3-K36 methylation" 0.142307882227301
0 0.409382067959976 2 5 "GO:0000416" "positive regulation of histone H3-K36 methylation" 1
