delta.rank,pval,level,nseqs,term,name,p.adj,,term,,,,,,,,,
0,3.09E-35,5,214,GO:0002181,cytoplasmic translation,2.84E-31,,GO:0002181,,,,,,,,,
0,1.01E-24,2,193,GO:0006613;GO:0006614;GO:0045047;GO:0072599,establishment of protein localization to endoplasmic reticulum,4.62E-21,,GO:0006613,GO:0006614,GO:0045047,GO:0072599,,,,,,
0,3.19E-23,3,666,GO:0006412;GO:0043043,peptide biosynthetic process,9.76E-20,,GO:0006412,GO:0043043,,,,,,,,
0,1.38E-22,3,219,GO:0070972,protein localization to endoplasmic reticulum,3.18E-19,,GO:0070972,,,,,,,,,
0,1.06E-20,7,246,GO:0006612,protein targeting to membrane,1.62E-17,,GO:0006612,,,,,,,,,
0,7.25E-19,3,256,GO:0006413,translational initiation,9.51E-16,,GO:0006413,,,,,,,,,
0,1.79E-15,2,1097,GO:0006518;GO:0043604,amide biosynthetic process,2.06E-12,,GO:0006518,GO:0043604,,,,,,,,
0,9.29E-15,2,1331,GO:0043603,cellular amide metabolic process,9.48E-12,,GO:0043603,,,,,,,,,
0,5.52E-14,2,1291,GO:0006325,chromatin organization,5.07E-11,,GO:0006325,,,,,,,,,
0,1.77E-12,2,1979,GO:0051276,chromosome organization,1.48E-09,,GO:0051276,,,,,,,,,
0,2.36E-12,2,461,GO:0000956;GO:0006402;GO:0006401,RNA catabolic process,1.81E-09,,GO:0000956,GO:0006402,GO:0006401,,,,,,,
0,8.36E-12,4,647,GO:0006605,protein targeting,5.91E-09,,GO:0006605,,,,,,,,,
0,1.45E-11,5,462,GO:0090150,establishment of protein localization to membrane,9.50E-09,,GO:0090150,,,,,,,,,
0,3.37E-11,5,813,GO:0072594,establishment of protein localization to organelle,2.06E-08,,GO:0072594,,,,,,,,,
0,1.56E-10,2,309,GO:0006575,cellular modified amino acid metabolic process,8.95E-08,,GO:0006575,,,,,,,,,
0,2.45E-10,2,1736,GO:0007507,heart development,1.32E-07,,GO:0007507,,,,,,,,,
0,1.59E-09,4,524,GO:1902275,regulation of chromatin organization,8.09E-07,,GO:1902275,,,,,,,,,
0,3.83E-09,3,785,GO:0016569;GO:0016570,covalent chromatin modification,1.85E-06,,GO:0016569,GO:0016570,,,,,,,,
0,4.76E-09,3,434,GO:0006338,chromatin remodeling,2.19E-06,,GO:0006338,,,,,,,,,
0,6.04E-09,2,837,GO:0003007,heart morphogenesis,2.64E-06,,GO:0003007,,,,,,,,,
0,1.11E-08,4,2344,GO:0072359,circulatory system development,4.64E-06,,GO:0072359,,,,,,,,,
0,1.32E-08,2,25,GO:0006268,DNA unwinding involved in DNA replication,5.26E-06,,GO:0006268,,,,,,,,,
0,4.63E-08,3,582,GO:0031099,regeneration,1.77E-05,,GO:0031099,,,,,,,,,
0,6.56E-08,2,860,GO:0030198;GO:0043062,extracellular structure organization,2.35E-05,,GO:0030198,GO:0043062,,,,,,,,
0,6.66E-08,2,58,GO:0061647,histone H3-K9 modification,2.35E-05,,GO:0061647,,,,,,,,,
0,9.18E-08,2,885,GO:0033044,regulation of chromosome organization,2.91E-05,,GO:0033044,,,,,,,,,
0,9.07E-08,5,1121,GO:0072657,protein localization to membrane,2.91E-05,,GO:0072657,,,,,,,,,
0,1.29E-07,2,1570,GO:0010638,positive regulation of organelle organization,3.96E-05,,GO:0010638,,,,,,,,,
0,1.67E-07,2,36,GO:0000028,ribosomal small subunit assembly,4.94E-05,,GO:0000028,,,,,,,,,
0,1.73E-07,2,286,GO:0060968,regulation of gene silencing,4.98E-05,,GO:0060968,,,,,,,,,
0,1.91E-07,4,1382,GO:0007472;GO:0007476;GO:0035114;GO:0035120;GO:0035220;GO:0048737,wing disc development,5.31E-05,,GO:0007472,GO:0007476,GO:0035114,GO:0035120,GO:0035220,GO:0048737,,,,
0,1.97E-07,2,861,GO:0051056,regulation of small GTPase mediated signal transduction,5.32E-05,,GO:0051056,,,,,,,,,
0,2.32E-07,5,1771,GO:0008285,negative regulation of cell population proliferation,6.09E-05,,GO:0008285,,,,,,,,,
0,2.62E-07,3,26,GO:0006577;GO:0009437,amino-acid betaine metabolic process,6.68E-05,,GO:0006577,GO:0009437,,,,,,,,
0,2.89E-07,4,219,GO:0035023,regulation of Rho protein signal transduction,7.18E-05,,GO:0035023,,,,,,,,,
0,3.01E-07,2,105,GO:0031935,regulation of chromatin silencing,7.27E-05,,GO:0031935,,,,,,,,,
0,3.32E-07,4,158,GO:0019395;GO:0034440,lipid oxidation,7.82E-05,,GO:0019395,GO:0034440,,,,,,,,
0,4.70E-07,7,87,GO:0006305;GO:0006306,DNA methylation,0.000105319,,GO:0006305,GO:0006306,,,,,,,,
0,5.11E-07,2,73,GO:0018208,peptidyl-proline modification,0.000111742,,GO:0018208,,,,,,,,,
0,6.06E-07,2,2215,GO:0002165;GO:0007444;GO:0007560;GO:0048563;GO:0009886;GO:0007552;GO:0048569;GO:0048707,imaginal disc development,0.000129438,,GO:0002165,GO:0007444,GO:0007560,GO:0048563,GO:0009886,GO:0007552,GO:0048569,GO:0048707,,
0,9.06E-07,2,2262,GO:0060562,epithelial tube morphogenesis,0.000189095,,GO:0060562,,,,,,,,,
0,9.56E-07,2,110,GO:0006635,fatty acid beta-oxidation,0.000195136,,GO:0006635,,,,,,,,,
0,1.05E-06,4,577,GO:0016055;GO:0198738,cell-cell signaling by wnt,0.000208956,,GO:0016055,GO:0198738,,,,,,,,
0,1.10E-06,2,193,GO:0042246,tissue regeneration,0.000214286,,GO:0042246,,,,,,,,,
0,1.21E-06,2,295,GO:0001952,regulation of cell-matrix adhesion,0.000228954,,GO:0001952,,,,,,,,,
0,1.22E-06,5,1902,GO:0018193,peptidyl-amino acid modification,0.000228954,,GO:0018193,,,,,,,,,
0,1.29E-06,3,241,GO:0034728,nucleosome organization,0.000237322,,GO:0034728,,,,,,,,,
0,1.37E-06,2,296,GO:0006473;GO:0006475;GO:0016573;GO:0018393;GO:0018394,protein acetylation,0.000241244,,GO:0006473,GO:0006475,GO:0016573,GO:0018393,GO:0018394,,,,,
0,1.36E-06,3,1122,GO:0043087;GO:0043547,regulation of GTPase activity,0.000241244,,GO:0043087,GO:0043547,,,,,,,,
0,1.50E-06,2,588,GO:0018205,peptidyl-lysine modification,0.000260147,,GO:0018205,,,,,,,,,
0,1.73E-06,2,1503,GO:0007411;GO:0097485,neuron projection guidance,0.000294955,,GO:0007411,GO:0097485,,,,,,,,
0,2.13E-06,3,973,GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361,organic cyclic compound catabolic process,0.000355377,,GO:0034655,GO:0019439,GO:0044270,GO:0046700,GO:1901361,,,,,
0,2.39E-06,2,8,GO:0001579,medium-chain fatty acid transport,0.000392651,,GO:0001579,,,,,,,,,
0,2.92E-06,2,182,GO:0032233;GO:0051496,positive regulation of actin filament bundle assembly,0.000470585,,GO:0032233,GO:0051496,,,,,,,,
0,3.20E-06,5,47,GO:0018126,protein hydroxylation,0.000506888,,GO:0018126,,,,,,,,,
0,3.75E-06,2,2678,GO:1901566,organonitrogen compound biosynthetic process,0.000583711,,GO:1901566,,,,,,,,,
0,4.15E-06,2,117,GO:0032508;GO:0032392,DNA geometric change,0.000634819,,GO:0032508,GO:0032392,,,,,,,,
0,4.73E-06,2,257,GO:0006333;GO:0031497,chromatin assembly or disassembly,0.000711945,,GO:0006333,GO:0031497,,,,,,,,
0,5.98E-06,2,405,GO:0110020;GO:0032231;GO:0051492,regulation of actomyosin structure organization,0.000886378,,GO:0110020,GO:0032231,GO:0051492,,,,,,,
0,7.42E-06,3,131,GO:0006304;GO:0044728,DNA modification,0.001081857,,GO:0006304,GO:0044728,,,,,,,,
0,7.80E-06,5,514,GO:0010810,regulation of cell-substrate adhesion,0.001120076,,GO:0010810,,,,,,,,,
0,8.44E-06,2,41,GO:0035076;GO:0071390,cellular response to ecdysone,0.001192567,,GO:0035076,GO:0071390,,,,,,,,
0,9.06E-06,2,149,GO:0006476;GO:0035601;GO:0098732;GO:0016575,macromolecule deacylation,0.001260327,,GO:0006476,GO:0035601,GO:0098732,GO:0016575,,,,,,
0,9.83E-06,3,18,GO:0033540,fatty acid beta-oxidation using acyl-CoA oxidase,0.001347575,,GO:0033540,,,,,,,,,
0,1.02E-05,2,378,GO:0031056,regulation of histone modification,0.001354477,,GO:0031056,,,,,,,,,
0,1.01E-05,2,144,GO:0043044,ATP-dependent chromatin remodeling,0.001354477,,GO:0043044,,,,,,,,,
0,1.12E-05,2,1284,GO:0016071,mRNA metabolic process,0.001473012,,GO:0016071,,,,,,,,,
0,1.24E-05,3,180,GO:1903391;GO:0051893;GO:0090109;GO:0150116,regulation of adherens junction organization,0.001604002,,GO:1903391,GO:0051893,GO:0090109,GO:0150116,,,,,,
0,1.32E-05,4,22,GO:0009086,methionine biosynthetic process,0.00168827,,GO:0009086,,,,,,,,,
0,1.38E-05,2,169,GO:0060976,coronary vasculature development,0.001737931,,GO:0060976,,,,,,,,,
0,1.50E-05,2,102,GO:0042255,ribosome assembly,0.001798117,,GO:0042255,,,,,,,,,
0,1.51E-05,2,66,GO:0042398,cellular modified amino acid biosynthetic process,0.001798117,,GO:0042398,,,,,,,,,
0,1.51E-05,2,26,GO:0042766,nucleosome mobilization,0.001798117,,GO:0042766,,,,,,,,,
0,1.51E-05,2,26,GO:1904181,positive regulation of membrane depolarization,0.001798117,,GO:1904181,,,,,,,,,
0,1.55E-05,2,1527,GO:0033365,protein localization to organelle,0.001824586,,GO:0033365,,,,,,,,,
0,1.81E-05,2,1397,GO:0010976;GO:0031346,positive regulation of cell projection organization,0.002081472,,GO:0010976,GO:0031346,,,,,,,,
0,1.80E-05,2,457,GO:0071103;GO:0006323,DNA conformation change,0.002081472,,GO:0071103,GO:0006323,,,,,,,,
0,1.85E-05,2,19,GO:0051901,positive regulation of mitochondrial depolarization,0.00210162,,GO:0051901,,,,,,,,,
0,1.98E-05,2,39,GO:0001765,membrane raft assembly,0.002190209,,GO:0001765,,,,,,,,,
0,1.98E-05,3,39,GO:0051567,histone H3-K9 methylation,0.002190209,,GO:0051567,,,,,,,,,
0,2.44E-05,3,2493,GO:0048598,embryonic morphogenesis,0.002671722,,GO:0048598,,,,,,,,,
0,2.51E-05,6,68,GO:0051894;GO:0150117;GO:1903393,positive regulation of cell-substrate junction organization,0.002711069,,GO:0051894,GO:0150117,GO:1903393,,,,,,,
0,2.55E-05,3,144,GO:0001954,positive regulation of cell-matrix adhesion,0.002723506,,GO:0001954,,,,,,,,,
0,2.66E-05,2,455,GO:0016202;GO:0048634;GO:1901861,regulation of muscle organ development,0.002795985,,GO:0016202,GO:0048634,GO:1901861,,,,,,,
