"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.25319833141873 2 60 "GO:0000002" "mitochondrial genome maintenance" 0.869389996154356
0 0.034206595428847 4 9 "GO:0000012" "single strand break repair" 0.306524467330692
0 0.000892790740046313 4 138 "GO:0000018" "regulation of DNA recombination" 0.0270636400901828
0 0.0739651536591159 5 8 "GO:0000019;GO:0045950" "regulation of mitotic recombination" 0.473428527079428
0 0.0673534892474996 2 57 "GO:0000022;GO:0051231" "spindle elongation" 0.458184153053985
0 0.0196537119501828 4 49 "GO:0000027" "ribosomal large subunit assembly" 0.21907687410489
0 0.987980871335262 2 36 "GO:0000028" "ribosomal small subunit assembly" 1
0 0.615959286013375 4 68 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.674305699900731 3 244 "GO:0000041" "transition metal ion transport" 1
0 0.68983250949115 2 142 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 0.608515096532728 3 29 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 1
0 0.922120941394839 3 20 "GO:0000052" "citrulline metabolic process" 1
0 0.00679866643341534 3 31 "GO:0000054;GO:0033750;GO:0071428" "rRNA-containing ribonucleoprotein complex export from nucleus" 0.108037631818201
0 0.0448630403065058 3 14 "GO:0000055" "ribosomal large subunit export from nucleus" 0.354313865189386
0 0.733732371902292 7 11 "GO:0000056" "ribosomal small subunit export from nucleus" 1
0 0.285528065381181 -1 88 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.912892593933344
0 7.87355212496672e-05 4 354 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.00384673278020316
0 5.101742684457e-05 3 420 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.00270864199749928
0 0.169776458217871 7 37 "GO:0000076" "DNA replication checkpoint" 0.730948222801732
0 6.54409418192658e-05 2 312 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.00336242864389213
0 0.0902053772038715 5 306 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.525077901007374
0 0.084582714131765 2 61 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.508403004624764
