"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.444411797207787 2 60 "GO:0000002" "mitochondrial genome maintenance" 1
0 0.00471093714005206 4 9 "GO:0000012" "single strand break repair" 0.208028642458549
0 0.331875683722246 4 138 "GO:0000018" "regulation of DNA recombination" 1
0 1 5 8 "GO:0000019;GO:0045950" "regulation of mitotic recombination" 1
0 0.906847677093558 2 57 "GO:0000022;GO:0051231" "spindle elongation" 1
0 0.000141479402805005 4 49 "GO:0000027" "ribosomal large subunit assembly" 0.014438759052933
0 1.0430823245885e-05 2 36 "GO:0000028" "ribosomal small subunit assembly" 0.00162384934768566
0 0.770599478942668 4 68 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.87249607551627 3 244 "GO:0000041" "transition metal ion transport" 1
0 0.522344128205632 2 142 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 1 3 29 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 1
0 0.564924781793944 3 20 "GO:0000052" "citrulline metabolic process" 1
0 0.00138487911173045 3 31 "GO:0000054;GO:0033750;GO:0071428" "rRNA-containing ribonucleoprotein complex export from nucleus" 0.0820652557499625
0 0.109227772379248 3 14 "GO:0000055" "ribosomal large subunit export from nucleus" 1
0 0.00870563973263829 7 11 "GO:0000056" "ribosomal small subunit export from nucleus" 0.327922108468113
0 0.878558649153137 -1 88 "GO:0000060" "obsolete protein import into nucleus, translocation" 1
0 0.688011761937207 4 354 "GO:0000070;GO:0000819" "sister chromatid segregation" 1
0 0.00224474261288366 3 420 "GO:0000075;GO:0007093" "cell cycle checkpoint" 0.119871865693816
0 0.785646296156628 7 37 "GO:0000076" "DNA replication checkpoint" 1
0 0.0541283224786779 2 312 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 0.96164147382332
0 0.478728572421348 5 306 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1
0 0.455149065454239 2 61 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 1
0 0.263804013727186 2 305 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 1
0 0.0372970902662247 3 77 "GO:0000096" "sulfur amino acid metabolic process" 0.787668776095723
0 0.0398377615241221 2 32 "GO:0000097" "sulfur amino acid biosynthetic process" 0.798422254866191
0 0.332066690289172 5 29 "GO:0000098" "sulfur amino acid catabolic process" 1
0 1 2 14 "GO:0000101" "sulfur amino acid transport" 1
0 1 4 14 "GO:0000117;GO:0090282" "regulation of transcription involved in G2/M transition of mitotic cell cycle" 1
0 0.536928991338584 2 2762 "GO:0000122;GO:0045892" "negative regulation of transcription, DNA-templated" 1
0 0.932308921474135 2 242 "GO:0000132;GO:0051294" "establishment of spindle orientation" 1
0 0.0074408854741572 2 56 "GO:0000154" "rRNA modification" 0.294588504655749
0 0.95383574528486 2 797 "GO:0000165" "MAPK cascade" 1
0 0.527153585938677 2 18 "GO:0000183" "rDNA heterochromatin assembly" 1
0 3.10473414090873e-14 3 207 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1.78231144276542e-11
0 0.86998268395963 2 49 "GO:0000185" "activation of MAPKKK activity" 1
0 0.608042493000025 6 129 "GO:0000186" "activation of MAPKK activity" 1
0 0.959597065802996 6 360 "GO:0000187" "activation of MAPK activity" 1
0 0.880380111167365 2 51 "GO:0000188" "inactivation of MAPK activity" 1
0 0.374538201567382 9 568 "GO:0000209" "protein polyubiquitination" 1
0 0.55830307191159 2 122 "GO:0000212" "meiotic spindle organization" 1
0 0.271168627740103 5 25 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 0.0725090033925719 2 126 "GO:0000245" "spliceosomal complex assembly" 1
0 1 3 9 "GO:0000255" "allantoin metabolic process" 1
0 0.202115493130972 2 57 "GO:0000266" "mitochondrial fission" 1
0 0.967802004145027 5 127 "GO:0000271;GO:0033692;GO:0034637" "cellular carbohydrate biosynthetic process" 1
0 0.594336486942108 6 75 "GO:0000272;GO:0005980;GO:0009251;GO:0044247;GO:0044275" "cellular carbohydrate catabolic process" 1
0 0.301633519906582 2 945 "GO:0000280;GO:0048285" "organelle fission" 1
0 0.985173806835454 2 302 "GO:0000281" "mitotic cytokinesis" 1
0 6.82393398642792e-05 3 115 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.00813997839809616
0 0.333559898017902 3 50 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 0.527153585938677 3 18 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 1
0 3.75469781174036e-06 3 59 "GO:0000291;GO:0043928" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.000689737988016704
0 0.283100576127186 3 8 "GO:0000294" "nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay" 1
0 0.367232884196176 2 11 "GO:0000301" "retrograde transport, vesicle recycling within Golgi" 1
0 0.463697408452427 2 497 "GO:0000302" "response to reactive oxygen species" 1
0 0.130909945513461 5 48 "GO:0000303;GO:0000305" "response to oxygen radical" 1
0 0.0835242250539907 2 12 "GO:0000320" "re-entry into mitotic cell cycle" 1
0 1 4 12 "GO:0000335;GO:0000337" "regulation of transposition, DNA-mediated" 1
0 0.631663539625869 7 24 "GO:0000338" "protein deneddylation" 1
0 0.0223015272027065 2 6 "GO:0000349" "generation of catalytic spliceosome for first transesterification step" 0.58028194718657
0 9.04051821887762e-16 2 894 "GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397" "mRNA processing" 5.93122570288507e-13
0 0.0324949968898885 8 44 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.720933687037744
0 0.00104341183851638 2 260 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 0.0646941289854566
0 0.163031394468388 2 71 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 2 13 "GO:0000389" "mRNA 3'-splice site recognition" 1
0 0.00471093714005206 5 9 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 0.208028642458549
0 0.546431837902792 3 19 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 1
0 0.0112597331471963 2 12 "GO:0000395" "mRNA 5'-splice site recognition" 0.383039440581474
0 0.0415928228703799 3 47 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.823340685483706
0 0.109227772379248 8 14 "GO:0000414" "regulation of histone H3-K36 methylation" 1
0 0.187793483336199 2 5 "GO:0000416" "positive regulation of histone H3-K36 methylation" 1
0 0.178766550514417 2 93 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 1
0 0.12276052880303 3 15 "GO:0000423" "mitophagy" 1
0 1 3 11 "GO:0000430;GO:0000432" "regulation of transcription from RNA polymerase II promoter by glucose" 1
0 0.0212648556246633 9 15 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.58028194718657
0 1 3 5 "GO:0000448" "cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.00122982552700845 4 6 "GO:0000451" "rRNA 2'-O-methylation" 0.0738297219972066
0 0.283100576127186 2 8 "GO:0000454" "snoRNA guided rRNA pseudouridine synthesis" 1
0 1 4 5 "GO:0000455" "enzyme-directed rRNA pseudouridine synthesis" 1
0 0.000472569384446233 4 10 "GO:0000459;GO:0000467" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.0364450369197173
0 0.000305229695200687 2 54 "GO:0000460" "maturation of 5.8S rRNA" 0.0254866795492574
0 1 3 5 "GO:0000461" "endonucleolytic cleavage to generate mature 3'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.00040432356952124 3 56 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.0325764209302859
0 1 2 20 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.000644463187143517 2 37 "GO:0000466" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.0455338028762554
0 3.23182679440721e-05 3 41 "GO:0000469" "cleavage involved in rRNA processing" 0.0044304968815866
0 0.552325667532351 2 45 "GO:0000470" "maturation of LSU-rRNA" 1
0 0.00358282651272521 2 26 "GO:0000479;GO:0000478" "endonucleolytic cleavage involved in rRNA processing" 0.168665686670299
0 8.69151434049451e-05 2 7 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.00973555600212708
