delta.rank,pval,level,nseqs,term,name,p.adj
0,1.79E-28,2,2480,GO:0006955,immune response,1.64E-24
0,3.17E-27,2,1671,GO:0002252,immune effector process,1.46E-23
0,4.32E-24,4,1609,GO:0006887;GO:0045055,exocytosis,1.32E-20
0,2.70E-23,2,1952,GO:0001775;GO:0045321,cell activation,6.20E-20
0,1.54E-20,2,1283,GO:0002263;GO:0002274;GO:0002275;GO:0002366;GO:0002283;GO:0042119;GO:0036230;GO:0002443;GO:0002444;GO:0002446;GO:0043299;GO:0043312,cell activation involved in immune response,2.83E-17
0,2.45E-19,4,2516,GO:0032940;GO:0046903;GO:0140352,secretion,3.75E-16
0,4.13E-17,4,1514,GO:0006897;GO:0098657,import into cell,5.42E-14
0,5.44E-17,2,2541,GO:0030334;GO:2000145;GO:0051270,regulation of cellular component movement,6.25E-14
0,8.74E-16,3,701,GO:0007264;GO:0007265,small GTPase mediated signal transduction,8.92E-13
0,4.75E-15,2,1692,GO:0002684,positive regulation of immune system process,4.37E-12
0,1.83E-13,2,1605,GO:0050776,regulation of immune response,1.53E-10
0,2.92E-13,3,1596,GO:0030155,regulation of cell adhesion,2.24E-10
0,5.84E-13,6,759,GO:0110053,regulation of actin filament organization,4.13E-10
0,1.52E-12,3,2423,GO:1902533,positive regulation of intracellular signal transduction,9.99E-10
0,2.62E-12,5,1062,GO:0043405;GO:0043406;GO:0071902,positive regulation of protein serine/threonine kinase activity,1.61E-09
0,3.60E-12,4,532,GO:0006909,phagocytosis,2.07E-09
0,3.87E-12,2,1476,GO:0009611;GO:0042060,response to wounding,2.09E-09
0,4.73E-12,2,2262,GO:0060562,epithelial tube morphogenesis,2.41E-09
0,5.79E-12,3,741,GO:0002253;GO:0002757;GO:0002764,activation of immune response,2.78E-09
0,6.05E-12,2,1190,GO:0007163,establishment or maintenance of cell polarity,2.78E-09
0,1.20E-11,3,1948,GO:0007167,enzyme linked receptor protein signaling pathway,5.24E-09
0,1.28E-11,2,258,GO:0038093,Fc receptor signaling pathway,5.32E-09
0,2.17E-11,4,518,GO:0008360,regulation of cell shape,8.58E-09
0,2.24E-11,4,1366,GO:1902903;GO:0032956;GO:0032970,regulation of actin filament-based process,8.58E-09
0,2.92E-11,2,1926,GO:0061024,membrane organization,1.07E-08
0,3.36E-11,2,500,GO:0002768;GO:0002429,immune response-regulating cell surface receptor signaling pathway,1.19E-08
0,3.53E-11,4,1139,GO:0001667,ameboidal-type cell migration,1.20E-08
0,4.26E-11,2,2210,GO:0044255;GO:0006629,lipid metabolic process,1.40E-08
0,1.07E-10,4,1277,GO:0060541,respiratory system development,3.39E-08
0,1.18E-10,2,860,GO:0030100,regulation of endocytosis,3.62E-08
0,1.42E-10,2,70,GO:0090382,phagosome maturation,4.21E-08
0,2.04E-10,2,1394,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,5.85E-08
0,2.23E-10,6,177,GO:0007040;GO:0080171,lytic vacuole organization,6.20E-08
0,2.56E-10,2,2436,GO:0009607;GO:0051707;GO:0043207,response to biotic stimulus,6.71E-08
0,2.55E-10,2,1222,GO:0071900,regulation of protein serine/threonine kinase activity,6.71E-08
0,2.81E-10,2,1255,GO:0043410,positive regulation of MAPK cascade,7.17E-08
0,2.94E-10,2,1006,GO:0002694;GO:0050865;GO:0051249,regulation of cell activation,7.25E-08
0,3.00E-10,2,1584,GO:0030335;GO:2000147;GO:0040017;GO:0051272,positive regulation of locomotion,7.25E-08
0,3.47E-10,3,1844,GO:0022604,regulation of cell morphogenesis,8.15E-08
0,3.55E-10,4,1600,GO:0060627,regulation of vesicle-mediated transport,8.15E-08
0,4.19E-10,3,172,GO:0002431;GO:0002433;GO:0038094;GO:0038096,immune response-regulating cell surface receptor signaling pathway involved in phagocytosis,9.04E-08
0,4.18E-10,3,1186,GO:0032103,positive regulation of response to external stimulus,9.04E-08
0,4.23E-10,2,1059,GO:0050778,positive regulation of immune response,9.04E-08
0,4.84E-10,2,1557,GO:0098542,defense response to other organism,1.01E-07
0,5.47E-10,2,1699,GO:0007155;GO:0022610,biological adhesion,1.12E-07
0,5.77E-10,2,2656,GO:0016310;GO:0006468,phosphorylation,1.15E-07
0,6.55E-10,2,318,GO:0007033,vacuole organization,1.27E-07
0,6.61E-10,4,502,GO:0008064;GO:0030832;GO:0030833,regulation of actin filament length,1.27E-07
0,7.96E-10,2,2002,GO:0034097;GO:0071345,response to cytokine,1.49E-07
0,1.75E-09,4,500,GO:0030278,regulation of ossification,3.21E-07
0,1.97E-09,2,943,GO:0045785,positive regulation of cell adhesion,3.55E-07
0,2.54E-09,5,887,GO:0022407,regulation of cell-cell adhesion,4.49E-07
0,2.79E-09,3,270,GO:0035088;GO:0061245;GO:0045197,establishment or maintenance of bipolar cell polarity,4.84E-07
0,3.08E-09,2,314,GO:0045667,regulation of osteoblast differentiation,5.24E-07
0,3.63E-09,3,221,GO:0030168,platelet activation,6.07E-07
0,4.63E-09,2,1736,GO:0007507,heart development,7.60E-07
0,5.11E-09,2,1539,GO:0055114,oxidation-reduction process,8.23E-07
0,5.29E-09,4,59,GO:0007220,Notch receptor processing,8.38E-07
0,5.74E-09,2,607,GO:0002696;GO:0050867;GO:0051251,positive regulation of cell activation,8.93E-07
0,6.69E-09,2,2965,GO:0001934;GO:0031401;GO:0042327;GO:0045937;GO:0010562,positive regulation of protein modification process,1.02E-06
0,8.33E-09,4,2344,GO:0072359,circulatory system development,1.25E-06
0,8.58E-09,2,1830,GO:0030029;GO:0030036,actin filament-based process,1.27E-06
0,8.97E-09,3,537,GO:0007596;GO:0007599;GO:0050817,hemostasis,1.31E-06
0,1.07E-08,3,1445,GO:0032535,regulation of cellular component size,1.54E-06
0,1.16E-08,3,1949,GO:0090066,regulation of anatomical structure size,1.64E-06
0,1.28E-08,2,975,GO:0045087,innate immune response,1.75E-06
0,1.27E-08,6,1546,GO:0051493,regulation of cytoskeleton organization,1.75E-06
0,1.34E-08,2,2187,GO:0006952,defense response,1.81E-06
0,1.40E-08,2,2207,GO:0030855,epithelial cell differentiation,1.87E-06
0,1.69E-08,2,21,GO:0046642,negative regulation of alpha-beta T cell proliferation,2.22E-06
0,1.88E-08,2,852,GO:0010631;GO:0090130;GO:0090132,tissue migration,2.44E-06
0,2.08E-08,2,1397,GO:0010976;GO:0031346,positive regulation of cell projection organization,2.66E-06
0,2.19E-08,2,1454,GO:0002064,epithelial cell development,2.75E-06
0,2.32E-08,2,845,GO:0005975,carbohydrate metabolic process,2.88E-06
0,2.71E-08,2,169,GO:0045669,positive regulation of osteoblast differentiation,3.32E-06
0,3.04E-08,3,1122,GO:0043087;GO:0043547,regulation of GTPase activity,3.68E-06
0,3.13E-08,2,1815,GO:0043408,regulation of MAPK cascade,3.73E-06
0,3.27E-08,2,42,GO:0090386,phagosome maturation involved in apoptotic cell clearance,3.80E-06
0,3.24E-08,2,551,GO:1903034,regulation of response to wounding,3.80E-06
0,3.64E-08,4,24,GO:0048227,plasma membrane to endosome transport,4.17E-06
0,4.34E-08,2,450,GO:0001736;GO:0007164;GO:0001738,morphogenesis of a polarized epithelium,4.87E-06
0,4.34E-08,2,815,GO:0010506,regulation of autophagy,4.87E-06
0,4.69E-08,3,138,GO:0045176,apical protein localization,5.19E-06
0,4.86E-08,2,576,GO:0045807,positive regulation of endocytosis,5.32E-06
0,5.69E-08,3,2351,GO:0032101,regulation of response to external stimulus,6.07E-06
0,5.63E-08,2,652,GO:0032872;GO:0070302;GO:0046328,regulation of stress-activated protein kinase signaling cascade,6.07E-06
0,6.85E-08,2,211,GO:0048260,positive regulation of receptor-mediated endocytosis,7.24E-06
0,8.02E-08,3,1509,GO:0045860;GO:0033674;GO:0051347,positive regulation of transferase activity,8.37E-06
0,1.08E-07,2,289,GO:1903036,positive regulation of response to wounding,1.12E-05
0,1.14E-07,2,410,GO:0032874;GO:0070304;GO:0046330,positive regulation of stress-activated protein kinase signaling cascade,1.17E-05
0,1.19E-07,5,310,GO:0034341;GO:0071346,response to interferon-gamma,1.21E-05
0,1.24E-07,5,619,GO:0007162,negative regulation of cell adhesion,1.22E-05
0,1.23E-07,2,944,GO:1903706,regulation of hemopoiesis,1.22E-05
0,1.51E-07,2,1752,GO:0051345,positive regulation of hydrolase activity,1.48E-05
0,1.68E-07,2,255,GO:0045778,positive regulation of ossification,1.62E-05
0,2.18E-07,2,406,GO:0055088,lipid homeostasis,2.08E-05
0,2.57E-07,2,420,GO:1903708,positive regulation of hemopoiesis,2.44E-05
0,2.62E-07,3,546,GO:0016197,endosomal transport,2.45E-05
0,2.67E-07,2,666,GO:0010770,positive regulation of cell morphogenesis involved in differentiation,2.46E-05
0,2.66E-07,3,365,GO:0042335,cuticle development,2.46E-05
0,2.93E-07,2,1177,GO:0001568;GO:0001944;GO:0048514,vasculature development,2.66E-05
0,3.30E-07,3,491,GO:0007297;GO:0007298,ovarian follicle cell migration,2.97E-05
0,3.41E-07,3,267,GO:0002576,platelet degranulation,3.04E-05
0,3.52E-07,3,255,GO:0003158;GO:0045446,endothelium development,3.11E-05
0,3.91E-07,2,874,GO:0016331,morphogenesis of embryonic epithelium,3.42E-05
0,4.19E-07,2,75,GO:0060027,convergent extension involved in gastrulation,3.63E-05
0,4.50E-07,3,1543,GO:0035107;GO:0048736,appendage development,3.87E-05
0,4.66E-07,2,59,GO:0006695,cholesterol biosynthetic process,3.96E-05
