"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.00928502687557749 2 60 "GO:0000002" "mitochondrial genome maintenance" 0.0929253238439088
0 0.192710740083835 4 9 "GO:0000012" "single strand break repair" 0.688199124288501
0 0.00817420239387022 4 138 "GO:0000018" "regulation of DNA recombination" 0.084359605604155
0 0.271192069102272 5 8 "GO:0000019;GO:0045950" "regulation of mitotic recombination" 0.829470247986803
0 0.55056210028191 2 57 "GO:0000022;GO:0051231" "spindle elongation" 1
0 0.596887490659487 4 49 "GO:0000027" "ribosomal large subunit assembly" 1
0 0.997369469597216 2 36 "GO:0000028" "ribosomal small subunit assembly" 1
0 0.922619366044667 4 68 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 0.914680212746387 3 244 "GO:0000041" "transition metal ion transport" 1
0 0.000368729815093714 2 142 "GO:0000045;GO:1905037" "autophagosome organization" 0.00716021850240119
0 0.258991178665081 3 29 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.817468720288237
0 0.00969721924524601 3 20 "GO:0000052" "citrulline metabolic process" 0.0959794814305868
0 0.0451760451927213 3 31 "GO:0000054;GO:0033750;GO:0071428" "rRNA-containing ribonucleoprotein complex export from nucleus" 0.276997313147627
0 0.418679240711519 3 14 "GO:0000055" "ribosomal large subunit export from nucleus" 1
0 0.702960493472593 7 11 "GO:0000056" "ribosomal small subunit export from nucleus" 1
0 0.286056950091987 -1 88 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.859698158412024
0 3.64381611705767e-07 4 354 "GO:0000070;GO:0000819" "sister chromatid segregation" 1.65685401164231e-05
0 1.93416731157161e-11 3 420 "GO:0000075;GO:0007093" "cell cycle checkpoint" 1.93101377791144e-09
0 5.24247495577368e-06 7 37 "GO:0000076" "DNA replication checkpoint" 0.000181706160259552
0 2.05217620250645e-12 2 312 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 2.32706647160762e-10
0 2.68335362785023e-08 5 306 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 1.44980018069437e-06
0 0.135200933531442 2 61 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.543704279547415
0 0.0121295793909597 2 305 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.113377448015312
0 0.0517222209242751 3 77 "GO:0000096" "sulfur amino acid metabolic process" 0.305044450935241
0 0.763936275888513 2 32 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 0.394648564589321 5 29 "GO:0000098" "sulfur amino acid catabolic process" 1
0 0.418679240711519 2 14 "GO:0000101" "sulfur amino acid transport" 1
0 0.225695008427171 4 14 "GO:0000117;GO:0090282" "regulation of transcription involved in G2/M transition of mitotic cell cycle" 0.742215772432354
0 0.000646853257521923 2 2762 "GO:0000122;GO:0045892" "negative regulation of transcription, DNA-templated" 0.0111469928148947
0 0.103976364272891 2 242 "GO:0000132;GO:0051294" "establishment of spindle orientation" 0.471383467841315
0 2.65826086719667e-07 2 56 "GO:0000154" "rRNA modification" 1.25210902898469e-05
0 0.26120203872635 2 797 "GO:0000165" "MAPK cascade" 0.823880743716183
0 0.0664837493808469 2 18 "GO:0000183" "rDNA heterochromatin assembly" 0.346765041489539
0 0.999960536404228 3 207 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.179287815432692 2 49 "GO:0000185" "activation of MAPKKK activity" 0.670504900053709
0 0.241898027564923 6 129 "GO:0000186" "activation of MAPKK activity" 0.782408917689691
0 0.848630772872217 6 360 "GO:0000187" "activation of MAPK activity" 1
0 0.612003693381878 2 51 "GO:0000188" "inactivation of MAPK activity" 1
0 3.42463589148298e-22 9 568 "GO:0000209" "protein polyubiquitination" 1.20981848704889e-19
0 0.000176460905831846 2 122 "GO:0000212" "meiotic spindle organization" 0.00381363157662472
0 0.00520613393824668 5 25 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.0598682779922613
0 8.96818052195129e-09 2 126 "GO:0000245" "spliceosomal complex assembly" 5.28030372398222e-07
0 0.874161242236306 3 9 "GO:0000255" "allantoin metabolic process" 1
0 0.248009617553351 2 57 "GO:0000266" "mitochondrial fission" 0.788071896875994
0 0.13616950136014 5 127 "GO:0000271;GO:0033692;GO:0034637" "cellular carbohydrate biosynthetic process" 0.546164572049295
0 0.309359016290436 6 75 "GO:0000272;GO:0005980;GO:0009251;GO:0044247;GO:0044275" "cellular carbohydrate catabolic process" 0.880899851467022
0 4.74813026422737e-11 2 945 "GO:0000280;GO:0048285" "organelle fission" 4.23413363853674e-09
0 0.003358214116956 2 302 "GO:0000281" "mitotic cytokinesis" 0.0425450988472288
0 1.75217486007188e-16 3 115 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 3.03655209240759e-14
0 8.41828580138103e-10 3 50 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 6.13666310203847e-08
0 0.000731712757627168 3 18 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.0122866209850193
0 1.03480850532083e-08 3 59 "GO:0000291;GO:0043928" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 6.05395931297568e-07
0 0.271192069102272 3 8 "GO:0000294" "nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay" 0.829470247986803
0 0.0217181521188413 2 11 "GO:0000301" "retrograde transport, vesicle recycling within Golgi" 0.169051887467421
0 0.350391026124595 2 497 "GO:0000302" "response to reactive oxygen species" 0.950204185106113
0 0.0222144330899006 5 48 "GO:0000303;GO:0000305" "response to oxygen radical" 0.172330716157717
0 0.377168180422018 2 12 "GO:0000320" "re-entry into mitotic cell cycle" 0.970389282122195
