delta.rank,pval,level,nseqs,term,name,p.adj
0,3.99E-20,2,1671,GO:0002252,immune effector process,3.66E-16
0,5.65E-19,2,1283,GO:0002263;GO:0002274;GO:0002275;GO:0002366;GO:0002283;GO:0042119;GO:0036230;GO:0002443;GO:0002444;GO:0002446;GO:0043299;GO:0043312,cell activation involved in immune response,2.60E-15
0,6.49E-18,4,1609,GO:0006887;GO:0045055,exocytosis,1.99E-14
0,4.56E-17,2,2480,GO:0006955,immune response,8.38E-14
0,4.30E-17,4,2516,GO:0032940;GO:0046903;GO:0140352,secretion,8.38E-14
0,3.78E-15,2,1952,GO:0001775;GO:0045321,cell activation,5.79E-12
0,1.41E-13,4,1514,GO:0006897;GO:0098657,import into cell,1.85E-10
0,3.09E-11,2,571,GO:0034976,response to endoplasmic reticulum stress,3.55E-08
0,9.57E-11,4,532,GO:0006909,phagocytosis,9.77E-08
0,1.94E-10,2,1275,GO:0009617,response to bacterium,1.78E-07
0,3.58E-10,2,945,GO:0000280;GO:0048285,organelle fission,2.99E-07
0,1.11E-09,2,2436,GO:0009607;GO:0051707;GO:0043207,response to biotic stimulus,8.47E-07
0,2.04E-09,2,1605,GO:0050776,regulation of immune response,1.44E-06
0,3.40E-09,2,2759,GO:0010243;GO:1901698,response to nitrogen compound,2.08E-06
0,3.31E-09,2,1946,GO:1903047;GO:0000278,mitotic cell cycle,2.08E-06
0,5.16E-09,2,736,GO:0010498;GO:0043161,proteasomal protein catabolic process,2.96E-06
0,6.78E-09,3,364,GO:0002685,regulation of leukocyte migration,3.46E-06
0,6.51E-09,2,2002,GO:0034097;GO:0071345,response to cytokine,3.46E-06
0,8.90E-09,2,1290,GO:0030163;GO:0051603;GO:0044257;GO:0006511;GO:0019941;GO:0043632,protein catabolic process,4.09E-06
0,1.93E-08,2,621,GO:0007059;GO:0098813,chromosome segregation,8.42E-06
0,2.10E-08,2,2574,GO:0022402,cell cycle process,8.75E-06
0,2.85E-08,3,1022,GO:0019221,cytokine-mediated signaling pathway,1.14E-05
0,3.47E-08,2,361,GO:0071216;GO:0071219;GO:0071222,cellular response to biotic stimulus,1.33E-05
0,3.74E-08,3,710,GO:0002237;GO:0032496,response to molecule of bacterial origin,1.37E-05
0,5.12E-08,2,256,GO:0030968;GO:0034620,cellular response to unfolded protein,1.81E-05
0,5.60E-08,2,356,GO:0030865;GO:0030866,cortical cytoskeleton organization,1.90E-05
0,1.18E-07,4,354,GO:0000070;GO:0000819,sister chromatid segregation,3.88E-05
0,1.38E-07,2,1929,GO:1901565,organonitrogen compound catabolic process,4.38E-05
0,1.99E-07,2,55,GO:0031663,lipopolysaccharide-mediated signaling pathway,6.08E-05
