delta.rank,pval,level,nseqs,term,name,p.adj,,,,,,,
0,5.38E-27,3,110,GO:0006096;GO:0006757;GO:0046031;GO:0042866,ADP metabolic process,4.94E-23,,25,0.1,5,0,2311,5.7
0,2.08E-26,2,118,GO:0006165;GO:0046939,nucleotide phosphorylation,9.55E-23,,245,0.6,239,0.6,63,0.2
0,7.81E-24,2,77,GO:0006007;GO:0006735;GO:0061615;GO:0061620;GO:0061621;GO:0061718,glucose catabolic process,2.08E-20,,30,0.1,40,0.1,2756,6.8
0,9.06E-24,2,130,GO:0006094;GO:0019319;GO:0046364,monosaccharide biosynthetic process,2.08E-20,,15131,37.1,21721,53.3,5217,12.8
0,1.56E-23,2,105,GO:0006734,NADH metabolic process,2.86E-20,,1449,3.6,2236,5.5,6871,16.9
0,1.92E-23,4,251,GO:0006006,glucose metabolic process,2.94E-20,,3636,8.9,3044,7.5,8138,20
0,8.44E-23,2,116,GO:0019320;GO:0046365,monosaccharide catabolic process,1.11E-19,,106,0.3,1,0,2537,6.2
0,3.13E-22,5,197,GO:0006754;GO:0009206;GO:0009145;GO:0009201;GO:0009142,nucleoside triphosphate biosynthetic process,3.59E-19,,25,0.1,31,0.1,1040,2.6
0,3.99E-22,2,161,GO:0006090,pyruvate metabolic process,4.08E-19,,230,0.6,20,0,1444,3.5
0,4.96E-22,2,202,GO:0009132;GO:0009135;GO:0009179;GO:0009185,nucleoside diphosphate metabolic process,4.56E-19,,,,,,,
0,1.69E-21,2,216,GO:0016052,carbohydrate catabolic process,1.41E-18,,,,,,,
0,6.62E-21,2,460,GO:0006164;GO:0072522;GO:0009152;GO:0009260;GO:0046390,ribose phosphate biosynthetic process,5.07E-18,,,,,,,
0,7.75E-21,2,284,GO:0016051,carbohydrate biosynthetic process,5.47E-18,,,,,,,
0,1.68E-20,2,245,GO:0009124;GO:0009127;GO:0009156;GO:0009168,nucleoside monophosphate biosynthetic process,1.10E-17,,,,,,,
0,2.19E-20,4,162,GO:0019359;GO:0019363;GO:0072525,pyridine-containing compound biosynthetic process,1.34E-17,,,,,,,
0,2.69E-20,2,491,GO:0009141;GO:0009144;GO:0009199;GO:0009205;GO:0046034,nucleoside triphosphate metabolic process,1.55E-17,,,,,,,
0,4.84E-20,2,170,GO:0019674,NAD metabolic process,2.47E-17,,,,,,,
0,4.61E-20,2,312,GO:0034404,nucleobase-containing small molecule biosynthetic process,2.47E-17,,,,,,,
0,6.38E-20,2,845,GO:0005975,carbohydrate metabolic process,3.08E-17,,,,,,,
0,1.21E-19,2,389,GO:0005996;GO:0019318,monosaccharide metabolic process,5.56E-17,,,,,,,
0,1.29E-19,2,1539,GO:0055114,oxidation-reduction process,5.63E-17,,,,,,,
0,3.22E-19,2,237,GO:0009166;GO:1901292,nucleoside phosphate catabolic process,1.35E-16,,,,,,,
0,5.61E-19,5,566,GO:0009123;GO:0009126;GO:0009161;GO:0009167,nucleoside monophosphate metabolic process,2.21E-16,,,,,,,
0,5.78E-19,2,1135,GO:0044283,small molecule biosynthetic process,2.21E-16,,,,,,,
0,6.27E-19,2,423,GO:0072330,monocarboxylic acid biosynthetic process,2.30E-16,,,,,,,
0,3.61E-18,3,618,GO:0046394;GO:0016053,carboxylic acid biosynthetic process,1.27E-15,,,,,,,
0,4.17E-18,2,801,GO:0006091,generation of precursor metabolites and energy,1.42E-15,,,,,,,
0,6.24E-18,2,107,GO:0009435,NAD biosynthetic process,2.05E-15,,,,,,,
0,1.30E-17,5,1050,GO:0006163;GO:0072521;GO:0009150;GO:0009259;GO:0019693,purine-containing compound metabolic process,4.13E-15,,,,,,,
0,2.95E-17,-1,441,GO:0009108;GO:0051188,obsolete cofactor biosynthetic process,9.04E-15,,,,,,,
0,3.21E-17,5,599,GO:0009165;GO:1901293,nucleoside phosphate biosynthetic process,9.52E-15,,,,,,,
0,6.04E-17,-1,323,GO:0006733;GO:0019362;GO:0072524;GO:0046496,obsolete oxidoreduction coenzyme metabolic process,1.73E-14,,,,,,,
0,8.64E-17,3,330,GO:0046434,organophosphate catabolic process,2.41E-14,,,,,,,
0,3.80E-16,3,1208,GO:0017144,drug metabolic process,1.03E-13,,,,,,,
0,7.55E-16,2,901,GO:0032787,monocarboxylic acid metabolic process,1.98E-13,,,,,,,
0,1.03E-15,-1,621,GO:0006732,obsolete coenzyme metabolic process,2.63E-13,,,,,,,
0,1.39E-15,2,1403,GO:0009117;GO:0006753;GO:0055086,nucleobase-containing small molecule metabolic process,3.45E-13,,,,,,,
0,1.34E-14,3,1150,GO:0090407,organophosphate biosynthetic process,3.24E-12,,,,,,,
0,1.43E-14,2,714,GO:0044282,small molecule catabolic process,3.38E-12,,,,,,,
0,1.77E-14,3,2158,GO:1901135,carbohydrate derivative metabolic process,4.06E-12,,,,,,,
0,6.63E-14,2,2103,GO:0019637,organophosphate metabolic process,1.46E-11,,,,,,,
0,6.68E-14,2,1238,GO:1901137,carbohydrate derivative biosynthetic process,1.46E-11,,,,,,,
0,1.61E-13,-1,923,GO:0051186,obsolete cofactor metabolic process,3.44E-11,,,,,,,
0,1.03E-12,2,336,GO:0006941,striated muscle contraction,2.15E-10,,,,,,,
0,4.52E-12,2,1809,GO:0006082;GO:0019752;GO:0043436,organic acid metabolic process,9.22E-10,,,,,,,
0,1.70E-11,3,810,GO:0003012;GO:0006936,muscle system process,3.40E-09,,,,,,,
0,1.78E-10,2,2678,GO:1901566,organonitrogen compound biosynthetic process,3.47E-08,,,,,,,
0,3.32E-10,3,973,GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361,organic cyclic compound catabolic process,6.35E-08,,,,,,,
0,6.51E-09,3,1977,GO:0061061,muscle structure development,1.22E-06,,,,,,,
0,3.15E-08,6,108,GO:0030049;GO:0033275,actin-myosin filament sliding,5.78E-06,,,,,,,
0,3.29E-08,3,1155,GO:0042692;GO:0051146,muscle cell differentiation,5.93E-06,,,,,,,
0,1.62E-07,4,205,GO:0046716,muscle cell cellular homeostasis,2.87E-05,,,,,,,
0,1.38E-06,2,2656,GO:0016310;GO:0006468,phosphorylation,0.0002395,,,,,,,
0,2.81E-06,6,75,GO:0000272;GO:0005980;GO:0009251;GO:0044247;GO:0044275,cellular carbohydrate catabolic process,0.000478665,,,,,,,
0,5.22E-06,2,230,GO:0043627,response to estrogen,0.000871939,,,,,,,
0,5.75E-06,3,330,GO:0030239;GO:0045214,myofibril assembly,0.000942958,,,,,,,
0,5.86E-06,2,87,GO:0003009,skeletal muscle contraction,0.000944515,,,,,,,
0,9.48E-06,3,252,GO:0000768;GO:0006949;GO:0140253;GO:0007520,syncytium formation,0.001475213,,,,,,,
0,9.34E-06,3,45,GO:0005981;GO:0043471,regulation of cellular carbohydrate catabolic process,0.001475213,,,,,,,
0,9.98E-06,2,356,GO:0014902,myotube differentiation,0.001528263,,,,,,,
0,1.41E-05,2,268,GO:0007525,somatic muscle development,0.002125413,,,,,,,
0,1.52E-05,3,497,GO:0015980,energy derivation by oxidation of organic compounds,0.002253763,,,,,,,
0,1.64E-05,2,1091,GO:0001666;GO:0036293;GO:0070482,response to oxygen levels,0.002390168,,,,,,,
0,1.70E-05,3,2015,GO:0019725,cellular homeostasis,0.002438042,,,,,,,
0,2.53E-05,3,667,GO:0055001;GO:0055002,muscle cell development,0.00357382,,,,,,,
0,3.11E-05,2,21,GO:0019249,lactate biosynthetic process,0.004332384,,,,,,,
